condition,condition_role,distance_cm,power_dbm,jammer_mode,method,train_seed,eval_seed,scan_id,scan_replicate,start_index,window_start,trajectory_seed,return,collisions,collision_rate,switches,switch_rate,steps,terminated,truncated
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1013,8,6,346,346,353600298,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1014,9,6,208,208,430395198,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1015,8,7,417,417,799679715,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1016,9,7,279,279,1468889584,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1017,8,8,482,482,498078359,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1018,9,8,300,300,1988742220,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1019,8,9,185,185,1321941717,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1020,9,9,160,160,199798587,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,1.0,1001,8,0,141,141,417139048,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,1.0,1002,9,0,102,102,616035509,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,1.0,1003,8,1,171,171,53462609,93.50000000000003,2,0.02,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,1.0,1004,9,1,252,252,54101657,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,1.0,1005,8,2,246,246,1164639609,87.50000000000001,5,0.05,30,0.3,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,1.0,1006,9,2,381,381,1755513553,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,1.0,1007,8,3,414,414,1968337963,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,1.0,1008,9,3,540,540,1011379023,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,1.0,1009,8,4,307,307,113591513,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,1.0,1010,9,4,259,259,1879995497,97.60000000000004,0,0.0,24,0.24,100,False,True
